City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,georgetown,5.4112,100.3354,82.35,84,20,2.3,MY,1668515106
1,carnarvon,-24.8667,113.6333,72.64,74,2,13.98,AU,1668515106
2,puerto ayora,-0.7393,-90.3518,69.55,91,43,8.01,EC,1668515106
3,iskateley,67.6803,53.1512,9.95,94,54,8.41,RU,1668515106
4,narok,-1.0783,35.8601,72.12,51,87,8.28,KE,1668515106
5,kerema,-7.9631,145.7785,80.51,84,100,1.52,PG,1668515106
6,darnah,32.767,22.6367,69.13,66,2,15.05,LY,1668515106
7,hermanus,-34.4187,19.2345,72.81,55,64,23.51,ZA,1668515106
8,bredasdorp,-34.5322,20.0403,79.56,29,72,24.63,ZA,1668515107
9,yuci,37.6803,112.7319,40.75,56,0,4.47,CN,1668515107
10,rikitea,-23.1203,-134.9692,74.16,79,94,15.93,PF,1668515107
11,norman wells,65.282,-126.8329,15.84,79,75,14.97,CA,1668515107
12,mataura,-46.1927,168.8643,58.48,68,100,1.01,NZ,1668515107
13,calama,-22.4667,-68.9333,57.69,10,0,19.57,CL,1668514867
14,new norfolk,-42.7826,147.0587,45.9,83,100,1.99,AU,1668515107
15,alta floresta,-9.8756,-56.0861,79.0,74,100,6.06,BR,1668515108
16,ayna,-12.65,-73.9167,63.99,82,82,2.1,PE,1668515108
17,tiarei,-17.5333,-149.3333,75.22,79,99,7.2,PF,1668515108
18,albany,42.6001,-73.9662,24.73,82,68,2.08,US,1668515108
19,husavik,66.0449,-17.3389,40.57,98,99,8.95,IS,1668515108
20,luderitz,-26.6481,15.1594,69.64,62,7,16.33,NA,1668515108
21,port elizabeth,-33.918,25.5701,82.09,73,0,31.07,ZA,1668515108
22,santa cruz,-17.8,-63.1667,78.85,57,20,14.97,BO,1668515094
23,buchanan,5.8808,-10.0467,82.15,73,99,5.68,LR,1668515108
24,thompson,55.7435,-97.8558,-5.64,84,100,2.3,CA,1668515108
25,cherskiy,68.75,161.3,-31.59,100,22,3.6,RU,1668515109
26,pevek,69.7008,170.3133,-16.08,100,91,2.04,RU,1668515109
27,guerrero negro,27.9769,-114.0611,58.86,51,78,0.74,MX,1668515109
28,sibolga,1.7427,98.7792,75.47,91,100,2.82,ID,1668515109
29,cabo san lucas,22.8909,-109.9124,71.51,81,42,3.38,MX,1668515109
30,opuwo,-18.0607,13.84,95.04,7,4,5.08,NA,1668515109
31,banyo,6.75,11.8167,86.4,27,23,5.91,CM,1668515059
32,ratodero,27.803,68.2871,79.25,31,0,3.22,PK,1668515110
33,eydhafushi,5.1033,73.0708,81.61,74,97,10.76,MV,1668515110
34,atambua,-9.1061,124.8925,78.37,81,92,1.79,ID,1668515110
35,cayenne,4.9333,-52.3333,84.24,79,40,5.75,GF,1668515110
36,champerico,14.3,-91.9167,73.94,86,60,5.68,GT,1668515110
37,vaini,-21.2,-175.2,71.76,100,75,2.3,TO,1668515110
38,matina,10.0761,-83.2895,73.27,90,99,2.75,CR,1668515110
39,san patricio,28.017,-97.5169,51.84,79,64,14.03,US,1668515111
40,busselton,-33.65,115.3333,59.52,70,3,12.26,AU,1668515111
41,mayo,38.8876,-76.5119,38.98,90,0,4.61,US,1668515111
42,soe,-9.8607,124.284,70.9,89,86,1.01,ID,1668515111
43,saldanha,-33.0117,17.9442,67.03,67,74,14.79,ZA,1668515111
44,shubarshi,48.5872,57.1869,26.47,63,100,21.05,KZ,1668515111
45,atuona,-9.8,-139.0333,76.98,76,3,14.79,PF,1668515111
46,turochak,52.2576,87.1224,33.21,91,100,3.24,RU,1668515111
47,taoudenni,22.6783,-3.9836,89.44,9,30,12.48,ML,1668515112
48,fortuna,40.5982,-124.1573,39.92,95,0,10.36,US,1668515112
49,hermon,44.8101,-68.9134,30.4,76,20,3.44,US,1668515112
50,castro,-24.7911,-50.0119,66.36,64,6,5.93,BR,1668515112
51,evensk,61.95,159.2333,20.71,73,100,21.09,RU,1668515112
52,aklavik,68.2191,-135.0107,6.44,94,99,3.13,CA,1668515112
53,jamestown,42.097,-79.2353,33.39,59,100,5.75,US,1668515112
54,sao filipe,14.8961,-24.4956,75.47,72,97,9.19,CV,1668515113
55,torbay,47.6666,-52.7314,37.76,88,75,24.16,CA,1668515113
56,hue,16.4667,107.6,78.91,94,40,6.91,VN,1668515113
57,brae,60.3964,-1.353,51.12,85,100,34.07,GB,1668515113
58,takhatgarh,25.3333,73.0,81.82,32,0,6.29,IN,1668515113
59,ancud,-41.8697,-73.8203,54.68,96,100,18.81,CL,1668515113
60,talnakh,69.4865,88.3972,-20.9,90,53,2.37,RU,1668515113
61,sur,22.5667,59.5289,84.0,48,0,5.35,OM,1668515113
62,cape town,-33.9258,18.4232,72.88,62,40,21.85,ZA,1668515114
63,kropachevo,55.0112,57.9896,18.9,95,100,5.88,RU,1668515114
64,hobart,-42.8794,147.3294,46.26,83,75,13.8,AU,1668515114
65,aromashevo,56.8602,68.6375,17.28,91,100,12.37,RU,1668515114
66,east london,-33.0153,27.9116,83.34,61,20,9.22,ZA,1668514912
67,saint-philippe,-21.3585,55.7679,78.39,62,37,13.0,RE,1668515114
68,barinas,8.6226,-70.2075,75.24,88,38,2.3,VE,1668515114
69,butaritari,3.0707,172.7902,80.38,83,25,9.78,KI,1668515114
70,ushuaia,-54.8,-68.3,49.66,81,40,3.44,AR,1668514952
71,mar del plata,-38.0023,-57.5575,67.08,82,75,16.11,AR,1668514820
72,airai,-8.9266,125.4092,64.31,92,100,1.16,TL,1668515115
73,hay river,60.8156,-115.7999,28.38,80,20,16.11,CA,1668515115
74,brive-la-gaillarde,45.25,1.5,59.83,36,100,2.55,FR,1668514989
75,oyama,36.3,139.8,56.59,73,37,1.54,JP,1668515115
76,kodiak,57.79,-152.4072,42.31,75,40,9.22,US,1668515115
77,lata,40.1629,-8.3327,61.81,96,100,6.87,PT,1668515115
78,matata,-37.8833,176.75,62.96,92,75,3.18,NZ,1668515115
79,barrow,71.2906,-156.7887,17.62,86,100,18.41,US,1668515115
80,tuktoyaktuk,69.4541,-133.0374,7.25,89,86,4.56,CA,1668515115
81,berlevag,70.8578,29.0864,40.95,81,75,31.07,NO,1668515116
82,bethel,41.3712,-73.414,32.94,80,0,0.0,US,1668515116
83,nikolskoye,59.7035,30.7861,33.69,97,100,7.4,RU,1668515116
84,upernavik,72.7868,-56.1549,19.99,89,100,6.78,GL,1668515116
85,fort nelson,58.8053,-122.7002,34.95,70,0,4.61,CA,1668515116
86,hamilton,39.1834,-84.5333,36.88,75,100,5.75,US,1668515116
87,paita,-5.0892,-81.1144,62.35,86,97,11.92,PE,1668515116
88,guiratinga,-16.3494,-53.7583,81.77,60,99,1.97,BR,1668515116
89,san policarpo,12.1791,125.5072,81.91,83,92,13.49,PH,1668515117
90,vila franca do campo,37.7167,-25.4333,65.19,78,86,5.1,PT,1668515117
91,berkakit,56.5807,124.7681,-20.49,100,91,2.46,RU,1668515117
92,rjukan,59.8789,8.5941,40.05,99,100,8.16,NO,1668515117
93,povenets,62.8487,34.8262,33.98,70,100,10.22,RU,1668515117
94,nishihara,26.1842,127.7558,70.88,83,100,10.36,JP,1668515117
95,poum,-20.2333,164.0167,76.51,79,23,13.06,NC,1668515117
96,luanda,-8.8368,13.2343,78.8,69,75,6.91,AO,1668514901
97,matveyevka,52.15,56.1833,22.86,89,100,16.64,RU,1668515117
98,lavrentiya,65.5833,-171.0,28.4,83,89,15.26,RU,1668515117
99,komsomolskiy,40.4272,71.7189,54.32,54,62,2.3,UZ,1668515118
100,nanortalik,60.1432,-45.2371,31.35,93,100,5.66,GL,1668515118
101,ponta do sol,32.6667,-17.1,76.12,76,78,4.61,PT,1668515118
102,polunochnoye,60.8697,60.4153,0.01,86,60,9.15,RU,1668515118
103,mahebourg,-20.4081,57.7,76.24,56,16,12.91,MU,1668515118
104,hofn,64.2539,-15.2082,45.9,93,100,17.0,IS,1668515118
105,punta arenas,-53.15,-70.9167,50.11,57,0,11.5,CL,1668514884
106,pandan,14.0453,124.1694,82.56,82,99,14.12,PH,1668515118
107,barkot,30.8167,78.2,55.78,71,4,0.67,IN,1668515118
108,esperance,-33.8667,121.9,59.47,67,1,15.5,AU,1668515119
109,malanje,-9.5402,16.341,83.39,38,84,6.76,AO,1668515119
110,tezu,27.9167,96.1667,64.99,55,0,4.29,IN,1668515119
111,jacksonville,30.3322,-81.6556,65.05,94,75,6.91,US,1668514935
112,hilo,19.7297,-155.09,70.25,72,0,8.05,US,1668515120
113,rawson,-43.3002,-65.1023,67.8,40,1,13.02,AR,1668515120
114,oneida,43.2001,-75.4663,32.94,83,100,1.01,US,1668515064
115,valdivia,-39.8142,-73.2459,59.09,96,93,1.21,CL,1668515111
116,qaanaaq,77.484,-69.3632,-0.67,79,92,5.61,GL,1668515120
117,tiksi,71.6872,128.8694,-14.62,96,100,10.18,RU,1668514847
118,bengkulu,-3.8004,102.2655,77.79,86,92,9.31,ID,1668515120
119,san quintin,30.4833,-115.95,59.18,54,100,3.29,MX,1668515120
120,malindi,-3.2175,40.1191,84.36,70,20,16.11,KE,1668515120
121,bluff,-46.6,168.3333,58.8,72,100,3.29,NZ,1668515121
122,yulara,-25.2406,130.9889,81.18,19,100,3.36,AU,1668515121
123,kavieng,-2.5744,150.7967,82.13,74,100,14.45,PG,1668515121
124,male,4.1748,73.5089,84.15,79,75,10.36,MV,1668515121
125,collie,-33.3667,116.15,58.39,67,2,5.64,AU,1668514831
126,coihaique,-45.5752,-72.0662,56.01,66,75,11.5,CL,1668515121
127,mehamn,71.0357,27.8492,40.91,81,75,17.27,NO,1668515121
128,tevriz,57.509,72.4042,22.71,94,100,8.41,RU,1668515121
129,severo-kurilsk,50.6789,156.125,34.41,77,90,31.0,RU,1668515122
130,baft,29.234,56.6057,58.28,24,0,12.91,IR,1668515122
131,provideniya,64.3833,-173.3,28.04,88,100,10.07,RU,1668515122
132,bambous virieux,-20.3428,57.7575,76.21,56,12,13.15,MU,1668515122
133,yellowknife,62.456,-114.3525,27.12,100,100,12.66,CA,1668515122
134,oranjemund,-28.55,16.4333,68.27,61,3,12.91,NA,1668515122
135,martapura,-3.4167,114.85,80.69,83,20,3.44,ID,1668515122
136,springhill,33.006,-93.4668,41.09,96,88,4.68,US,1668515123
137,cidreira,-30.1811,-50.2056,69.98,59,3,15.5,BR,1668515123
138,lompoc,34.6391,-120.4579,42.53,98,100,6.91,US,1668515123
139,quatre cocos,-20.2078,57.7625,76.08,56,3,14.16,MU,1668515123
140,olafsvik,64.8945,-23.7142,42.91,88,100,16.06,IS,1668515124
141,khatanga,71.9667,102.5,-4.88,97,100,14.52,RU,1668515124
142,dubti,11.7361,41.0853,93.22,22,0,8.59,ET,1668515124
143,zaysan,47.4667,84.8667,44.1,53,100,14.97,KZ,1668515124
144,pangnirtung,66.1451,-65.7125,2.39,95,100,3.09,CA,1668515124
145,prainha,-1.8,-53.48,83.23,63,80,6.91,BR,1668515124
146,lebu,-37.6167,-73.65,57.36,78,10,2.73,CL,1668515124
147,teya,60.3778,92.6267,12.87,96,100,2.82,RU,1668515125
148,kristiinankaupunki,62.2743,21.376,38.48,75,19,11.7,FI,1668515125
149,flinders,-34.5833,150.8552,56.37,83,13,9.95,AU,1668514943
150,cukai,4.25,103.4167,80.01,85,100,3.56,MY,1668515125
151,athens,37.9795,23.7162,68.41,57,75,13.8,GR,1668514926
152,isangel,-19.55,169.2667,71.71,83,0,5.75,VU,1668515125
153,bandarban,22.1965,92.2262,67.96,81,0,1.77,BD,1668515125
154,klaksvik,62.2266,-6.589,50.92,83,100,37.76,FO,1668514929
155,hobyo,5.3505,48.5268,84.18,59,19,16.4,SO,1668515125
156,seydi,39.4816,62.9137,53.62,35,94,9.08,TM,1668515126
157,iwanai,42.9744,140.5089,38.93,75,99,5.32,JP,1668515126
158,matadi,-5.8167,13.45,91.08,42,96,5.03,CD,1668515126
159,sobolevo,54.4299,31.8996,36.39,80,98,9.66,RU,1668515126
160,broome,42.2506,-75.833,30.69,81,100,0.0,US,1668515126
161,ishigaki,24.3448,124.1572,77.13,73,20,4.61,JP,1668515126
162,prince rupert,54.3161,-130.3201,40.69,89,75,11.5,CA,1668515126
163,ibra,22.6906,58.5334,90.41,17,0,6.44,OM,1668515126
164,savinka,50.0785,47.0994,34.23,49,79,13.67,RU,1668515126
165,salo,45.6086,10.531,52.5,88,100,1.59,IT,1668515127
166,pisco,-13.7,-76.2167,64.45,82,75,4.61,PE,1668515127
167,victoria,22.2855,114.1577,78.33,79,4,5.99,HK,1668515099
168,zhezkazgan,47.8043,67.7144,31.98,93,100,13.42,KZ,1668515127
169,tura,25.5198,90.2201,64.85,92,4,2.48,IN,1668515127
170,kailua,21.4022,-157.7394,75.49,81,76,4.0,US,1668515127
171,bafra,41.5678,35.9069,62.71,60,29,10.33,TR,1668515127
172,belyy yar,53.6039,91.3903,38.86,86,100,2.24,RU,1668515127
173,lorengau,-2.0226,147.2712,80.64,81,70,2.98,PG,1668515128
174,mitsamiouli,-11.3847,43.2844,86.29,58,75,12.66,KM,1668515128
175,san cristobal,7.7669,-72.225,69.98,80,24,1.14,VE,1668515128
176,hasaki,35.7333,140.8333,50.22,76,100,9.75,JP,1668515128
177,hithadhoo,-0.6,73.0833,81.68,77,98,13.02,MV,1668515128
178,pudozh,61.8099,36.5345,32.49,94,100,3.06,RU,1668515128
179,yoichi,43.2039,140.7703,40.5,70,98,5.93,JP,1668515129
180,guthrie,35.8789,-97.4253,32.41,91,100,5.75,US,1668515129
181,fare,-16.7,-151.0167,78.24,81,92,5.73,PF,1668515129
182,iaciara,-14.0958,-46.6317,70.7,91,100,1.99,BR,1668515129
183,comodoro rivadavia,-45.8667,-67.5,64.26,34,0,23.02,AR,1668515118
184,amapa,1.0,-52.0,81.43,69,66,5.08,BR,1668515129
185,port alfred,-33.5906,26.891,70.18,78,11,8.01,ZA,1668515129
186,codrington,-38.2667,141.9667,48.31,60,96,13.0,AU,1668515129
187,tonstad,58.6626,6.7169,49.21,93,100,34.85,NO,1668515129
188,bonfim,3.0833,-59.95,83.41,65,84,6.04,BR,1668515130
189,coquimbo,-29.9533,-71.3436,62.33,82,40,8.05,CL,1668514942
190,tasiilaq,65.6145,-37.6368,30.36,84,100,4.85,GL,1668515130
191,maniitsoq,65.4167,-52.9,22.91,84,99,10.04,GL,1668515130
192,samarai,-10.6167,150.6667,82.51,81,100,9.15,PG,1668515130
193,arraial do cabo,-22.9661,-42.0278,85.96,70,0,9.22,BR,1668515130
194,deniliquin,-35.5333,144.9667,49.24,71,83,9.57,AU,1668515130
195,bathsheba,13.2167,-59.5167,83.01,78,20,18.41,BB,1668515130
196,cancun,21.1743,-86.8466,73.33,94,20,0.0,MX,1668515130
197,jumla,29.2747,82.1838,44.06,83,46,3.31,NP,1668515130
198,leningradskiy,69.3833,178.4167,-6.93,93,69,1.95,RU,1668515131
199,keuruu,62.2667,24.7,32.81,80,93,7.92,FI,1668515131
200,saskylakh,71.9167,114.0833,-7.91,94,100,7.31,RU,1668515131
201,port hedland,-20.3167,118.5667,71.65,88,99,5.75,AU,1668515131
202,sabzevar,36.2126,57.6819,63.68,27,40,9.22,IR,1668514970
203,chinhoyi,-17.3667,30.2,76.48,54,60,4.97,ZW,1668515131
204,pochutla,15.7432,-96.4661,71.82,80,6,3.36,MX,1668515131
205,galle,6.0367,80.217,79.11,81,91,2.89,LK,1668515131
206,ostrovnoy,68.0531,39.5131,30.11,94,94,19.3,RU,1668515132
207,ipixuna,-1.7625,-48.8043,82.29,72,86,6.04,BR,1668515132
208,baghdad,33.3406,44.4009,76.91,27,0,5.75,IQ,1668514843
209,rio gallegos,-51.6226,-69.2181,55.45,47,0,6.91,AR,1668515132
210,kapaa,22.0752,-159.319,73.72,79,75,17.27,US,1668515132
211,avarua,-21.2078,-159.775,69.85,73,82,5.75,CK,1668515132
212,envira,-7.3,-70.2167,75.58,92,99,0.78,BR,1668515132
213,gidam,18.9833,81.4,70.18,46,28,2.13,IN,1668515132
214,hovd,48.0056,91.6419,27.97,37,54,3.74,MN,1668515133
215,altamira,-3.2033,-52.2064,82.49,83,75,12.66,BR,1668515133
216,college,64.8569,-147.8028,19.72,86,40,0.0,US,1668514970
217,paragominas,-2.9667,-47.4833,82.09,69,54,7.72,BR,1668515133
218,sisian,39.5256,46.0251,47.39,47,4,6.67,AM,1668515133
219,lakes entrance,-37.8811,147.981,46.17,65,43,14.58,AU,1668515058
220,chuy,-33.6971,-53.4616,67.51,56,72,17.05,UY,1668515134
221,verkhnyaya toyma,62.2349,44.9985,19.94,74,87,4.21,RU,1668515134
222,takoradi,4.8845,-1.7554,84.45,65,48,6.93,GH,1668515134
223,manzanillo,20.3433,-77.1167,73.63,90,5,8.3,CU,1668515134
224,slonim,53.0867,25.3219,46.9,72,70,5.53,BY,1668514917
225,ribeira grande,38.5167,-28.7,64.78,94,75,13.8,PT,1668515134
226,sakaiminato,35.55,133.2333,57.18,54,75,8.05,JP,1668515134
227,jinzhou,41.1078,121.1417,39.63,63,1,3.87,CN,1668515134
228,mount isa,-20.7333,139.5,78.57,25,99,9.22,AU,1668515135
229,chokurdakh,70.6333,147.9167,-27.29,100,94,6.87,RU,1668515135
230,ahipara,-35.1667,173.1667,60.69,95,78,3.36,NZ,1668515135
231,sorland,67.667,12.6934,43.59,65,1,13.49,NO,1668515135
232,kalmunai,7.4167,81.8167,79.81,80,75,7.11,LK,1668515135
233,praia,14.9215,-23.5087,81.14,57,75,17.27,CV,1668515136
234,palmer,42.1584,-72.3287,30.61,93,40,0.0,US,1668515136
235,les cayes,18.2,-73.75,77.38,79,0,3.44,HT,1668515136
236,rancho palos verdes,33.7445,-118.387,56.55,51,0,3.0,US,1668515136
237,urubicha,-15.3833,-62.95,78.06,60,100,3.56,BO,1668515136
238,dikson,73.5069,80.5464,-4.49,99,65,7.54,RU,1668515136
239,saint-francois,46.4154,3.9054,59.68,82,0,5.75,FR,1668515136
240,luena,-11.7833,19.9167,77.45,52,99,4.5,AO,1668515136
241,rampura,30.25,75.2333,75.67,34,20,6.98,IN,1668515136
242,kaeo,-35.1,173.7833,64.33,93,68,5.53,NZ,1668515137
243,mo i rana,66.3128,14.1428,35.33,88,0,8.05,NO,1668515104
244,la roche-sur-yon,46.6667,-1.4333,59.27,88,100,12.66,FR,1668515137
245,gweta,-20.1833,25.2333,88.23,30,0,8.21,BW,1668515137
246,souillac,-20.5167,57.5167,74.75,57,9,13.8,MU,1668515137
247,imeni poliny osipenko,52.4201,136.4853,11.19,95,8,1.79,RU,1668515137
248,tyukhtet,56.5389,89.3011,35.15,98,100,10.18,RU,1668515137
249,pemberton,50.3164,-122.8027,33.57,76,21,1.14,CA,1668515137
250,srednekolymsk,67.45,153.6833,-30.95,99,20,7.23,RU,1668515138
251,kodinsk,58.6881,99.1844,17.83,95,100,1.99,RU,1668515138
252,locri,38.2414,16.2623,70.32,49,100,4.61,IT,1668515138
253,perth,-31.9333,115.8333,69.8,51,0,17.27,AU,1668515026
254,puerto escondido,15.85,-97.0667,72.43,78,0,6.91,MX,1668515138
255,bafoulabe,13.8065,-10.8321,94.59,30,100,5.84,ML,1668515138
256,alirajpur,22.3031,74.3546,81.36,32,0,2.42,IN,1668515138
257,te anau,-45.4167,167.7167,52.02,81,100,2.57,NZ,1668515138
258,twin falls,42.3505,-114.6445,17.49,86,0,6.91,US,1668515139
259,gat,31.61,34.7642,72.28,100,74,12.17,IL,1668515139
260,aztec,36.8222,-107.9929,21.47,57,0,0.11,US,1668515139
261,mareeba,-17.0,145.4333,77.43,81,100,2.21,AU,1668515110
262,muravlenko,63.7898,74.523,-6.63,90,99,17.22,RU,1668515139
263,cortes,41.9395,-1.4396,64.45,60,98,6.04,ES,1668515139
264,ambon,-3.6954,128.1814,80.74,83,40,4.61,ID,1668514954
265,nichinan,31.6,131.3667,56.88,74,42,8.48,JP,1668515140
266,kieta,-6.2167,155.6333,78.73,80,91,0.51,PG,1668515140
267,babol,36.5513,52.679,64.47,51,0,8.79,IR,1668515140
268,jieshi,22.8134,115.8257,73.04,85,8,10.8,CN,1668515140
269,caucaia,-3.7361,-38.6531,86.31,65,75,11.5,BR,1668515140
270,apacilagua,13.4797,-87.0755,74.68,94,20,0.0,HN,1668515140
271,saravan,39.7196,45.6483,44.37,51,4,3.62,AM,1668515140
272,dekar,-21.5333,21.9333,91.15,24,0,9.22,BW,1668515141
273,ixtapa,20.7,-105.2,68.23,87,55,3.27,MX,1668515141
274,clyde river,70.4692,-68.5914,-0.17,65,0,5.75,CA,1668515141
275,rock springs,41.5875,-109.2029,14.05,92,0,12.66,US,1668515141
276,port macquarie,-31.4333,152.9167,63.9,80,30,4.88,AU,1668515141
277,hope mills,34.9704,-78.9453,48.52,85,100,9.22,US,1668515142
278,innisfail,-17.5333,146.0333,77.02,76,84,2.42,AU,1668514936
279,shangrao,28.4532,117.9686,58.28,87,93,3.71,CN,1668515142
280,dudinka,69.4058,86.1778,-21.14,100,79,1.03,RU,1668515142
281,punta alta,-38.8759,-62.0736,69.51,47,0,14.85,AR,1668515142
282,suhut,38.5311,30.5458,53.78,34,93,2.15,TR,1668515143
283,bandar-e lengeh,26.5579,54.8807,89.71,33,0,18.41,IR,1668515143
284,ailigandi,9.2333,-78.0167,77.41,86,87,3.8,PA,1668515143
285,meulaboh,4.1363,96.1285,76.68,85,100,1.41,ID,1668515143
286,faya,18.3851,42.4509,73.51,43,5,4.9,SA,1668515143
